1		4
2		4
3		11
4		15
5		12
6		29
7		11
8		25
9		46
10		39
11		48
12		65
13		51
14		38
15		70
16		110
17		132
18		131
19		145
20		101
21		121
22		163
23		132
24		178
25		202
26		549
27		346
28		396
29		260
30		403
31		375
32		442
33		353
34		385
35		898
36		578
37		622
38		764
39		461
40		779
41		1043
42		1089
43		1239
44		970
45		835
46		852
47		1040
48		1230
49		1425
50		1515
51		1349
52		1383
53		1440
54		1120
55		1609
56		1982
57		1906
58		1938
59		1562
60		1305
61		1997
62		1862
63		2409
64		2437
65		2112
66		2075
67		2414
68		2713
69		2248
70		2973
71		2960
72		3329
73		2764
74		2485
75		3455
76		3463
77		3377
78		3227
79		2885
80		3152
81		2771
82		3891
83		3912
84		4442
85		4346
86		3593
87		3484
88		2999
89		4199
90		4883
91		4790
92		5222
93		3494
94		4147
95		3427
96		4599
97		4930
98		5662
99		5030
100		4717
101		5343
102		4577
103		6288
104		5437
105		6104
106		5441
107		4410
108		4050
109		3805
110		5432
111		5681
112		6741
113		6740
114		6914
115		4683
116		4902
117		6258
118		6995
119		7280
120		6891
121		6094
122		4482
123		4685
124		7051
125		6149
126		6406
127		7257
128		7615
129		5311
130		5172
131		6859
132		6019
133		8438
134		7573
135		6751
136		5480
137		4973
138		7208
139		5752
140		7730
141		8458
142		9556
143		4853
144		4767
145		6148
146		6139
147		6590
148		6717
149		6495
150		4376
151		5558
152		6686
153		5858
154		7371
155		5618
156		6345
157		4448
158		3571
159		5506
160		5792
161		6775
162		5928
163		6482
164		3948
165		3541
166		4916
167		5267
168		6026
169		5824
170		5974
171		4129
172		3719
173		6476
174		4921
175		5937
176		6196
177		6319
178		4614
179		3486
180		5351
181		4647
182		4857
183		5935
184		5674
185		4408
186		3335
187		4771
188		4444
189		3182
190		4841
191		5167
192		3542
193		2917
194		4683
195		4786
